Name,Total Calories (kcal),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Total Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Monounsaturated Fat (g),Polyunsaturated Fat (g),Linoleic Acid (g),α-Linolenic Acid (g),Omega 3 - EPA (mg),Omega 3 - DHA (mg),Copper (mcg),Magnesium (mg),Phosphorus (mg),Selenium (mcg),Zinc (mg),Vitamin A (mcg),Vitamin B6 (mg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin E (mg),Vitamin K (mcg),Folate (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Choline (mg),Vitamin B12 (mg),Copper (mg),Selenium (mg),Vitamin D (mg),Zinc (mcg),Iron (g),Phosphorus (mcg)
Macaroni & Cheese with Broccoli,280,4,2,12,277,40,3,5,19,1,280,2,290,1,0,0,0.1,0,0,136,40,340,36,2,79,0.2,0.6,26,0,30,156,0.4,0.4,2,32,0,0,0,0,0,0,0
Macaroni Chick-Pea Soup,343,5,1,0,251,60,9,7,18,0,83,4,622,1,2,2,0.1,0,0,462,66,256,30,2,14,0.3,0.2,10,1,10,204,0.4,0.3,6,56,0,0,0,0,0,0,0
Magic Crust Quiche,215,8,3,89,407,22,4,8,13,1,213,2,274,3,2,2,0.2,0,13,97,30,322,13,1,211,0.1,0.6,3,1,18,73,0.2,0.5,2,95,0,0,0,0,0,0,0
Magical Fruit Salad,99,0,0,1,131,24,1,21,2,0,54,0,215,0,0,0,0,0,0,88,17,103,2,0,24,0.1,0.2,7,0,3,8,0.1,0.1,0,11,0,0,0,0,0,0,0
Main Dish Salad,157,2,1,3,315,26,9,6,12,0,166,3,867,0,0,0,0.2,0,0,258,65,246,6,2,275,0.4,0.1,131,1,182,178,0.2,0.3,2,51,0,0,0,0,0,0,0
Mango Berry Rotini Salad,430,15,3,5,400,65,14,18,12,0,150,2,287,8,2,1,0.2,0,0,239,49,147,18,1,115,0.3,0.3,42,3,91,54,0.2,0.3,1,22,0,0,0,0,0,0,0
Mango Cucumber Soup,170,1,0,0,45,33,3,28,11,0,150,0,397,0,0,0,0,0,0,173,27,107,3,1,49,0.2,0.3,72,1,12,25,0.1,0.2,1,20,0,0,0,0,0,0,0
Mango Salsa,17,0,0,0,73,4,0,4,0,0,4,0,50,0,0,0,0,0,0,30,3,5,0,0,14,0,0,11,0,1,12,0,0,0,2,0,0,0,0,0,0,0
Mango Shake,109,1,1,6,55,21,2,17,5,1,160,0,376,0,0,0,0,0,0,94,27,130,5,1,100,0.2,0.6,21,1,2,34,0.1,0.3,1,28,0,0,0,0,0,0,0
Manhattan Clam Chowder,98,1,0,16,347,14,2,5,9,0,55,2,427,0,0,0,0,22,33,122,31,121,16,1,240,0.2,5.2,18,1,16,31,0.1,0.1,2,46,0,0,0,0,0,0,0
Maple Sweet Potatoes,150,0,0,0,85,35,4,14,3,0,81,1,514,0,0,0,0,0,0,204,38,87,1,1,923,0.3,0.1,7,0,2,18,0.1,0.2,1,19,0,0,0,0,0,0,0
Marinated Beef,219,18,3,42,310,1,0,0,14,0,6,1,131,7,6,5,0.8,2,1,41,10,92,15,2,0,0.2,0.8,3,2,16,6,0,0.1,3,55,0,0,0,0,0,0,0
Marinated Three-Bean Salad,253,1,0,1,957,46,15,7,16,0,97,6,922,0,1,0,0.4,0,0,486,92,278,5,2,24,0.3,0.1,21,0,53,225,0.3,0.2,1,70,0,0,0,0,0,0,0
Mashed Parsnips and Potatoes,142,2,1,6,229,28,5,4,3,0,55,1,650,1,0,0,0,0,0,173,40,113,2,1,28,0.4,0,29,1,12,48,0.1,0.1,1,29,100,0,0,0,0,0,0
Mashed Sweet Potatoes,113,0,0,0,217,26,4,5,2,0,43,1,442,0,0,0,0,0,0,200,33,62,1,0,922,0.3,0,3,0,6,15,0.1,0.1,1,16,0,0,0,0,0,0,0
Mashed Taters,175,2,1,1,81,36,3,2,4,0,33,1,475,2,1,1,0.2,0,0,93,31,79,6,0,42,0.3,0,33,1,7,20,0.4,0.1,3,26,100,0,0,0,0,0,0
Masur Dal (Red Lentils with Onion),107,5,1,0,199,12,4,3,5,0,18,2,242,2,2,2,0.3,0,0,149,23,93,1,1,8,0.2,0,31,1,8,87,0.1,0.1,1,17,0,0,0,0,0,0,0
Matzo Meal Kugel (Pudding),241,7,4,71,251,38,1,21,7,1,114,1,166,2,1,1,0,0,9,33,16,126,15,1,111,0.1,0.5,0,0,1,15,0.1,0.3,1,61,0,0,0,0,0,0,0
Meatball Soup,252,7,2,82,421,30,7,5,17,0,111,4,488,3,1,1,0.1,0,7,251,71,227,19,4,230,0.4,0,8,1,45,44,0.2,0.3,5,105,1400,0,0,0,0,0,0
Meatloaf,292,14,5,104,262,26,2,3,18,9,21,2,366,3,1,1,0,0,0,120,40,202,17,4,7,0.3,0,0,0,1,44,0.1,0.2,5,81,1800,0,0,0,0,0,0
Meaty Stuffed Potatoes,326,2,1,48,208,49,7,8,28,1,215,3,1360,0,0,0,0,0,5,324,87,427,24,2,236,1.1,0.6,71,0,37,77,0.3,0.4,7,91,0,0,0,0,0,0,0
Mediterranean Chicken and White Bean Salad,297,11,2,32,288,31,8,2,20,0,138,6,820,3,5,1,0.1,0,0,408,93,201,0,3,9,0.3,0.1,9,2,41,105,0.2,0.2,2,67,0,0,11000,0,0,0,0
Mediterranean Roasted Eggplant with Tomato Sauce,112,2,0,2,36,23,9,14,4,0,71,1,871,0,1,0,0.1,0,0,278,53,111,2,1,26,0.4,0.1,8,2,19,70,0.1,0.2,4,30,0,0,0,0,0,0,0
Melon Salsa,19,0,0,0,6,5,0,4,0,0,5,0,95,0,0,0,0,0,0,20,5,8,0,0,2,0,0,9,0,2,8,0,0,0,3,0,0,0,0,0,0,0
Mexican Chicken Soup,374,6,2,141,278,19,6,3,57,0,65,3,848,2,1,1,0.1,17,33,261,85,481,49,2,36,1.2,0.6,13,1,8,122,0.3,0.2,23,167,0,0,0,0,0,0,0
Mexican Pinwheels,147,6,2,10,311,20,1,1,4,0,57,1,89,2,1,1,0,0,0,63,10,57,8,0,36,0,0,3,0,2,65,0.2,0.1,1,7,0,0,0,0,0,0,0
Mexican Pozole Soup,313,14,5,95,428,16,2,3,30,0,36,4,425,6,1,1,0,3,1,211,36,245,27,9,9,0.4,2.2,7,1,6,40,0.3,0.3,4,115,0,0,0,0,0,0,0
Mexican Rice,243,5,1,0,235,44,2,3,6,0,44,2,295,2,2,1,0.2,0,0,189,27,106,11,1,13,0.3,0.1,21,1,6,141,0.5,0.1,4,12,0,0,0,0,0,0,0
Mexican Rice II,237,2,0,2,359,47,6,8,7,0,61,3,505,0,1,1,0.1,0,0,222,50,130,9,1,281,0.3,0,14,0,0,129,0.3,0.2,5,0,0,0,0,0,0,0,0
Mexican Vegetables,70,1,0,0,246,16,2,4,2,0,28,1,255,0,0,0,0,0,0,114,19,48,1,0,12,0.1,0,12,1,4,28,0.1,0.1,1,18,0,0,0,0,0,0,0
Microwave Baked Apple,216,0,0,0,10,57,5,49,1,0,42,1,266,0,0,0,0,0,0,72,13,25,0,0,6,0.1,0,10,0,5,7,0,0.1,0,8,0,0,0,0,0,0,0
Microwave Baked Potato,164,0,0,0,13,37,5,2,4,0,26,2,897,0,0,0,0,0,0,230,49,121,1,1,0,0.6,0,42,0,4,34,0.2,0.1,2,26,0,0,0,0,0,0,0
Microwave Cauliflower and Peas in Cream Sauce,53,1,1,3,180,8,2,3,3,0,42,1,174,0,0,0,0,0,0,49,14,60,2,0,49,0.1,0.1,19,0,12,41,0.1,0.1,1,26,0,0,0,0,0,0,0
Microwave Denver Scramble Slider,240,6,2,185,550,29,4,9,16,1,80,3,335,3,1,1,0.1,2,19,224,56,337,46,2,77,0.3,0.8,36,1,3,57,0.4,0.4,4,155,0,0,0,0,0,0,0
Microwave Potato Corn Chowder,348,14,3,6,500,50,5,10,10,2,172,2,792,6,4,4,0.8,0,0,188,54,237,8,1,189,0.4,0.6,23,2,15,82,0.2,0.3,2,55,0,0,0,0,0,0,0
"Migas ""Crumbs""",398,21,4,187,560,38,3,2,14,1,151,3,213,11,5,4,1,0,29,147,24,225,32,1,86,0.2,0.5,8,2,11,145,0.4,0.4,3,155,0,0,0,0,0,0,0
Minestrone Soup,172,1,0,0,214,34,10,6,9,0,95,4,253,0,0,0,0,0,0,140,0,49,0,0,0,0,0,14,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Mini Caprese Bites,24,1,0,1,53,1,0,1,2,0,71,0,52,1,0,0,0,0,0,17,5,51,1,31,19,0,0.1,2,0,6,4,0,0,0,2,0,0,0,0,0,0,0
Mixed Fruit Salad,157,0,0,0,8,41,4,36,1,0,23,1,300,0,0,0,0,0,0,177,25,27,1,0,34,0.2,0,22,1,4,13,0.1,0.1,1,12,0,0,0,0,0,0,0
Mixed Grain Bread,103,2,0,0,119,20,1,3,2,0,7,1,42,1,1,1,0.1,0,0,45,10,35,8,0,0,0,0,0,0,2,60,0.2,0.1,1,3,0,0,0,0,0,0,0
Mock Sour Cream,21,1,0,2,76,1,0,1,3,0,24,0,25,0,0,0,0,0,0,8,2,40,2,0,6,0,0.1,0,0,0,3,0,0.1,0,4,0,0,0,0,0,0,0
Mousse a la Banana,98,1,1,4,47,19,1,14,4,0,124,0,305,0,0,0,0,0,0,42,23,105,3,1,14,0.2,0.4,4,0,0,15,0,0.2,0,15,0,0,0,0,0,0,0
Mozz Totz,67,1,0,6,292,6,1,2,10,0,298,0,89,0,0,0,0,0,0,32,15,207,7,1,45,0.1,0.3,0,0,3,12,0.1,0.1,1,8,0,0,0,0,0,0,0
Mozzarella Chicken with Garlic Spinach,310,12,4,100,364,9,2,1,41,0,307,3,697,4,2,1,0.3,10,20,170,96,423,35,2,384,0.8,1,20,2,345,156,0.2,0.4,15,104,0,0,0,0,0,0,0
Muffins (from Better Baking Mix),141,6,1,16,96,20,1,9,3,0,48,1,67,2,2,2,0.3,0,2,43,13,67,7,1,19,0,0.1,0,1,5,32,0.1,0.1,1,18,0,0,0,0,0,0,0
Mushroom Barley Soup,187,5,1,0,93,31,5,4,7,0,44,2,511,2,2,2,0.2,0,0,328,31,149,10,1,261,0.2,0.1,6,1,29,34,0.1,0.3,6,27,0,0,0,0,0,0,0
Mushroom Beef Sloppy Joes,280,11,2,20,240,37,6,13,13,0,80,1,837,5,3,3,0.5,0,0,644,65,269,35,3,53,0.5,0.7,6,4,15,45,0.2,0.7,10,60,0,0,0,0,0,0,0
Mushroom Steak Fajitas,430,16,5,60,590,46,7,4,27,0,60,2,829,4,1,1,0.1,0,0,426,78,344,51,5,87,0.8,0.9,30,2,16,87,0.3,0.5,10,94,0,0,0,0,0,0,0
Naan,73,2,1,7,119,13,0,1,2,0,5,1,21,0,0,0,0,0,1,31,4,20,7,0,12,0,0,0,0,0,49,0.2,0.1,1,5,0,0,0,0,0,0,0
New England Johnny Cake,114,3,1,16,148,19,1,7,3,0,57,1,56,1,1,1,0.2,0,2,30,11,60,6,0,17,0,0.1,0,0,3,34,0.1,0.1,1,17,0,0,0,0,0,0,0
New Orleans Red Beans,202,1,0,0,315,37,10,2,13,0,84,4,701,0,0,0,0.2,0,0,372,70,215,2,2,13,0.3,0,22,0,47,197,0.3,0.1,1,47,0,0,0,0,0,0,0
No Bake Breakfast Cookies,171,6,1,1,58,27,2,20,5,0,47,1,216,3,1,1,0,0,0,94,42,130,5,1,20,0.1,0.1,0,1,0,14,0.1,0.1,2,19,0,0,0,0,0,0,0
Oat Bran Muffins,128,4,1,16,194,21,3,10,4,0,112,2,202,2,1,1,0.2,0,2,81,45,158,2,1,19,0.1,0.1,6,0,2,15,0.2,0.1,0,17,0,0,0,0,0,0,0
Oat! My Tropical Pizza,275,6,1,94,337,37,6,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oatmeal Raisin Muffins,182,7,1,16,254,26,1,10,4,0,58,1,122,3,3,3,0.4,0,2,71,17,85,8,1,22,0,0.1,0,1,7,43,0.2,0.1,1,20,0,0,0,0,0,0,0
Okra and Greens,98,6,1,0,31,11,4,4,3,0,82,2,510,2,3,3,0.1,0,0,160,54,70,1,1,273,0.3,0,92,2,181,127,0.2,0.1,1,21,0,0,0,0,0,0,0
Old Fashioned Bread Pudding,231,7,2,94,297,34,2,23,9,1,134,1,282,3,2,2,0.3,0,15,119,31,173,16,1,116,0.1,0.5,0,2,7,25,0.1,0.3,1,91,0,0,0,0,0,0,0
Old Fashioned Dressing,397,9,2,0,945,65,5,6,12,0,179,5,317,3,3,3,0.5,0,0,264,43,164,22,1,55,0.2,0.3,8,1,32,154,0.9,0.4,6,18,0,0,0,0,0,0,0
One Pan Potatoes & Chicken,285,7,1,47,316,35,4,3,21,0,32,2,868,3,3,2,0.3,6,11,221,59,237,16,1,14,0.8,0.2,33,1,11,46,0.2,0.1,10,74,0,0,0,0,0,0,0
One Pan Spaghetti,295,7,3,35,319,37,3,4,18,0,128,3,336,2,1,1,0.1,0,0,187,41,209,37,3,31,0.3,1.1,2,1,8,136,0.3,0.3,6,43,0,0,0,0,0,0,0
One-Dish Roasted Potatoes and Apples with Chicken Sausage,364,17,3,120,588,39,5,14,15,0,50,2,804,6,5,4,0.6,0,0,246,46,201,1,3,2,0.6,0.6,25,1,8,28,0.1,0.2,4,43,0,0,0,0,0,0,0
Orange Banana Frosty,119,1,1,4,44,24,2,17,4,0,122,0,479,0,0,0,0,0,0,0,33,112,0,1,17,0.3,0.3,37,0,0,37,0.1,0.2,1,19,0,81000,3000,0,0,0,0
Orange Cow,332,0,0,1,56,76,1,75,7,1,160,1,1406,0,0,0,0,0,0,321,76,182,3,1,89,0.3,0.3,261,1,1,297,0.6,0.3,1,50,0,0,0,0,0,0,0
Orange Delight Juice,75,0,0,0,6,18,1,14,1,0,15,0,241,0,0,0,0,0,0,53,15,18,0,0,7,0.1,0,39,0,0,22,0.1,0,0,6,0,0,0,0,0,0,0
Orange Glazed Skinless Chicken Wings,314,18,8,114,305,22,0,19,16,0,34,1,169,7,3,2,0.1,3,4,65,15,104,18,1,68,0.4,0.3,2,1,1,10,0.1,0.1,4,78,0,0,0,0,0,0,0
Orange Pork Chops,282,5,2,88,119,17,3,6,39,1,43,2,612,2,1,1,0,0,0,221,48,320,53,3,467,0.9,0.8,19,1,1,17,0.8,0.4,13,141,0,0,0,0,0,0,0
Oven Baked Sweet Potato Fries,116,7,1,0,36,13,2,3,1,0,20,0,219,5,1,1,0.1,0,0,98,16,31,0,0,461,0.1,0,2,1,5,7,0.1,0,0,8,0,0,0,0,0,0,0
Oven Fried Fish,202,7,3,101,163,10,1,1,25,3,45,1,358,2,1,1,0.1,4,113,109,36,215,52,1,44,0.1,1.7,0,1,2,33,0.2,0.2,5,81,0,0,0,0,0,0,0
Oven Roasted Chicken,349,27,8,94,328,2,0,1,23,0,19,2,301,11,6,0,0,0,0,112,28,238,19,2,69,0.5,0.4,7,1,3,10,0.2,0.2,8,0,0,0,0,0,0,0,0
Oven-Baked Potato Pancakes,82,3,0,16,196,13,2,1,2,0,34,1,280,2,0,0,0,0,2,80,18,60,3,0,7,0.2,0,13,0,3,14,0.1,0,1,21,0,0,0,0,0,0,0
Oven-Fried Yucca,108,0,0,0,9,26,1,1,1,0,10,0,163,0,0,0,0,0,0,64,13,16,0,0,1,0.1,0,9,0,1,12,0.1,0,1,16,0,0,0,0,0,0,0
Oven-Roasted Vegetables,99,5,1,0,101,13,2,1,2,0,11,1,321,2,2,2,0.3,0,0,83,18,43,0,0,0,0.2,0,16,1,7,13,0.1,0,1,9,0,0,0,0,0,0,0
Overnight Oatmeal,333,13,2,0,27,50,7,17,8,0,57,3,470,2,8,7,1.4,0,0,526,96,239,13,3,19,0.2,0,1,1,13,29,0.2,0.1,1,26,0,0,0,0,0,0,0
Overnight Oatmeal with Berries,311,4,1,7,86,53,9,21,17,1,268,2,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancakes (from Better Baking Mix),31,3,1,27,11,0,0,0,1,0,5,0,10,1,1,1,0.1,0,4,7,1,15,2,0,12,0,0.1,0,0,3,3,0,0,0,22,0,0,0,0,0,0,0
Panned Cabbage,32,2,1,4,87,4,2,2,1,0,29,0,123,0,0,0,0,0,0,16,9,19,0,0,16,0.1,0,27,0,53,31,0,0,0,8,0,0,0,0,0,0,0
Parmesan Peas,86,2,1,3,60,12,4,4,5,0,60,1,162,1,0,0,0.1,0,0,84,17,88,2,1,41,0.1,0,9,0,20,40,0.1,0.1,1,18,100,0,0,0,0,0,0
"Parsley, Almond, and Lemon Pesto",171,17,3,7,130,2,1,0,4,0,111,1,116,11,2,2,0.1,0,0,61,16,73,1,1,80,0,0.2,24,3,254,25,0,0.1,0,4,0,0,0,0,0,0,0
Party-Time Pasta,312,7,2,30,346,45,7,6,18,0,124,4,519,2,2,2,0.1,5,3,343,57,232,32,2,247,0.3,0,15,1,108,131,0.4,0.4,6,58,500,0,0,0,0,0,0
Pasta Bolognese,297,6,2,23,114,47,8,3,16,0,121,3,290,3,1,0,0,1,0,338,63,250,47,2,55,0.3,0.8,5,1,5,18,0.2,0.2,3,42,0,0,0,0,0,0,0
Pasta Primavera II,431,6,1,7,150,77,9,13,16,0,138,4,783,1,2,1,0.2,0,0,380,82,232,49,2,217,0.5,0.1,6,5,42,243,0.6,0.5,11,54,0,0,0,0,0,0,0
Pasta Primavera Salad,365,6,2,88,558,61,5,8,16,1,120,3,249,2,1,0,0,0,0,284,48,243,50,2,153,0.2,0.4,4,1,12,213,0.5,0.4,3,90,0,0,0,0,0,0,0
Pasta Salad,143,5,1,3,49,20,2,1,4,0,12,1,99,1,3,3,0.4,0,0,78,14,47,16,0,49,0.1,0,12,0,16,75,0.2,0.1,1,9,0,0,0,0,0,0,0
Pasta Salad with Herb Vinaigrette,220,10,3,185,200,25,4,1,11,1,64,3,253,5,1,1,0.1,3,19,171,39,176,36,1,165,0.2,0.6,15,2,28,42,0.1,0.3,1,126,0,0,0,0,0,0,0
Pasta Vegetable Salad,119,3,0,0,110,20,2,3,4,0,16,1,171,1,1,1,0.2,0,0,106,19,54,13,0,30,0.1,0,15,0,14,73,0.2,0.1,1,11,0,0,0,0,0,0,0
"Pasta with Chickpeas, Tomato, and Spinach",395,8,2,4,303,68,13,9,19,0,218,5,849,2,4,1,0.1,0,0,603,134,327,45,3,542,1,0.1,27,3,249,148,0.3,0.3,3,64,0,0,0,0,0,0,0
"Pasta with Greens, Beans, and Chicken",478,6,1,44,281,77,11,3,34,0,142,6,926,2,2,2,0.3,2,3,668,148,416,70,3,145,0.7,0.1,10,3,153,133,0.4,0.3,7,92,0,0,0,0,0,0,0
Pea Guacamole,27,0,0,0,119,5,2,2,2,0,13,1,68,0,0,0,0,0,0,49,8,25,0,0,32,0.1,0,8,0,9,23,0.1,0,1,9,0,0,0,0,0,0,0
Pea Pesto,147,13,2,3,160,5,2,1,4,0,82,1,93,6,4,4,0.8,0,0,162,24,81,2,1,57,0.1,0.1,4,1,40,29,0.1,0.1,0,10,0,0,0,0,0,0,0
Peach Sauce,131,0,0,0,11,34,3,26,1,0,12,1,172,0,0,0,0,0,0,116,9,22,0,0,56,0,0,1,2,5,16,0,0,1,7,0,0,0,0,0,0,0
Peachy Peanut Butter Pita Pockets,183,7,1,0,197,26,4,7,7,0,13,1,266,3,2,2,0,0,0,199,53,116,11,1,4,0.2,0,3,2,1,23,0.1,0.1,4,21,0,0,0,0,0,0,0
Peachy Pops,85,1,0,1,17,19,1,16,2,0,54,0,314,0,0,0,0,0,0,92,18,57,1,0,19,0.1,0,45,0,1,29,0.1,0.1,1,12,100,0,0,0,0,0,0
Peanut Butter 'n Fruit-wich,283,18,4,0,242,22,4,8,11,0,62,1,358,8,4,4,0.1,0,0,225,84,199,9,2,1,0.2,0,2,4,3,36,0.1,0.1,5,39,0,0,0,0,0,0,0
Peanut Butter and Apple Wraps,295,14,2,0,294,33,5,9,12,0,25,2,367,7,4,4,0.1,0,0,314,92,213,14,2,1,0.2,0,2,4,2,41,0.2,0.1,6,31,0,0,0,0,0,0,0
Peanut Butter Banana Breakfast Shake,288,9,2,5,161,41,4,28,13,3,318,1,916,4,2,2,0,0,0,199,89,341,9,2,153,0.6,1.2,10,2,1,47,0.2,0.5,3,64,0,0,0,0,0,0,0
Peanut Butter Banana Smoothie,260,8,2,6,136,40,4,28,11,2,0,0,0,3,2,2,0,0,0,0,0,0,0,0,85,0.5,0.9,9,1,1,42,0.1,0.4,2,50,0,0,0,0,0,0,0
Peanut Butter Bread,291,15,3,39,385,30,2,11,11,1,147,2,292,7,4,3,0,0,6,165,59,217,13,1,37,0.1,0.3,0,3,0,89,0.2,0.3,5,62,0,0,0,0,0,0,0
Peanut Butter Cereal Bars,201,10,2,0,61,27,2,16,6,0,17,1,238,4,2,2,0,0,0,165,49,121,4,1,0,0.1,0,0,2,1,20,0.1,0,2,20,0,0,0,0,0,0,0
"Peanut, Peach, N Pineapple Wrap",430,15,3,0,600,64,8,23,13,0,200,4,0,8,5,5,0.1,0,0,425,129,290,34,2,157,0.4,0,42,4,87,125,0.4,0.2,8,44,0,0,0,0,0,0,0
Peanutty Stew,260,12,2,1,526,31,5,6,10,0,104,2,558,6,3,3,0,0,0,298,97,224,10,2,225,0.4,0.2,19,3,57,51,0.4,0.2,5,42,0,0,0,0,0,0,0
Pear in Orange Sauce,132,0,0,0,2,34,5,24,1,0,20,0,286,0,0,0,0,0,0,157,17,28,0,0,6,0.1,0,30,0,7,26,0.1,0.1,0,11,0,0,0,0,0,0,0
Pear Kabobs with Strawberry Dipping Sauce,199,1,0,2,34,48,5,35,3,0,99,1,475,0,0,0,0.1,0,0,195,39,91,3,1,9,0.3,0.2,46,0,4,34,0.1,0.2,1,21,0,0,0,0,0,0,0
Pear Party Salsa,112,0,0,0,2,29,4,23,1,0,33,0,270,0,0,0,0,0,0,111,15,27,0,0,7,0.1,0,57,1,18,24,0.1,0.1,0,9,0,0,0,0,0,0,0
Pear PB&J Bouquet,122,4,1,0,148,18,3,5,5,0,50,2,136,1,1,1,0,0,0,175,42,79,8,1,62,0.2,0,1,3,3,38,0.1,0.1,2,12,0,0,0,0,0,0,0
Pear Quesadillas,217,11,5,20,341,19,2,5,10,0,269,2,117,5,1,1,0.1,0,0,85,23,175,10,1,51,0.1,0.4,1,1,22,51,0.2,0.2,1,7,0,0,0,0,0,0,0
Pear Rabbit,141,0,0,0,10,37,4,28,1,0,25,1,287,0,0,0,0,0,0,150,19,37,0,0,0,0.1,0,4,0,1,3,0,0,1,9,0,0,0,0,0,0,0
Pear Salad,95,2,0,0,29,18,3,14,2,0,59,1,270,0,2,1,0.3,0,0,139,23,61,1,0,160,0.1,0.1,8,0,56,41,0.1,0.1,0,11,0,0,0,0,0,0,0
Pears in a Pod,245,17,3,0,128,19,5,11,8,0,29,1,390,8,4,4,0,0,0,226,69,150,1,1,5,0.1,0,4,3,9,36,0,0.1,4,36,0,0,0,0,0,0,0
Peter Pumpkin Squares,179,8,1,31,138,25,1,14,3,0,50,1,95,3,3,3,0.4,0,5,64,16,61,7,0,151,0,0.1,1,1,11,30,0.1,0.1,1,29,0,0,0,0,0,0,0
Pico de Gallo,33,0,0,0,103,8,2,4,1,0,20,0,238,0,0,0,0,0,0,68,13,32,0,0,32,0.1,0,27,0,9,19,0.1,0,1,8,0,0,0,0,0,0,0
Pineapple Avocado Chicken Salad,437,10,2,57,883,60,11,8,31,0,51,4,690,4,2,2,0.1,7,14,409,102,350,56,2,189,0.9,0.2,80,2,27,95,0.4,0.3,13,92,0,0,0,0,0,0,0
Pineapple Chicken,303,6,2,141,240,8,0,7,52,0,32,2,485,2,1,1,0.1,17,33,126,55,380,46,2,11,1,0,5,0,1,9,0.2,0.2,23,144,600,0,0,0,0,0,0
Pineapple Orange Frozen Yogurt,112,0,0,2,51,25,1,22,4,0,136,0,299,0,0,0,0,0,0,116,23,108,3,1,7,0.1,0.4,48,0,1,30,0.1,0.2,1,17,0,0,0,0,0,0,0
Pineapple Pork,285,9,3,88,157,11,1,10,38,1,23,1,463,4,2,2,0.2,0,0,182,40,295,52,3,9,0.8,0.8,30,1,6,6,0.8,0.3,13,135,0,0,0,0,0,0,0
Pink Party Salad,255,7,1,93,143,41,7,12,8,0,47,2,907,4,1,1,0.1,1,8,242,58,169,8,1,62,0.5,0.2,35,1,12,123,0.2,0.2,2,79,0,0,0,0,0,0,0
Pizza Meat Loaf,251,16,4,86,309,6,1,3,22,0,106,2,416,5,4,3,0.2,15,8,205,35,262,30,3,57,0.5,1.4,17,1,8,16,0.1,0.3,8,68,0,0,0,0,0,0,0
Polenta with Pepper and Cheese,266,7,3,12,680,41,8,3,13,0,241,3,445,2,1,1,0.2,0,0,270,77,293,8,2,79,0.2,0.4,32,0,0,93,0.2,0.2,2,0,0,0,0,0,0,0,0
Popcorn Treats,530,19,3,0,236,92,10,39,8,0,61,3,608,8,7,6,1,0,0,338,87,244,2,2,201,0.4,0,3,3,26,22,0.2,0.1,3,21,0,0,0,0,0,0,0
Pork Loin Roast with Veggies,229,10,2,44,172,20,3,7,16,0,40,1,601,4,3,2,0.3,0,0,173,35,179,20,1,392,0.6,0.3,14,1,12,31,0.4,0.2,5,50,0,0,0,0,0,0,0
Pot Roasted Beef,327,3,1,31,208,51,6,6,23,0,47,3,1318,1,0,0,0.1,1,0,395,68,244,16,3,94,0.7,0,33,0,10,60,0.3,0.2,5,95,700,0,0,0,0,0,0
Potato Beef Casserole,329,9,3,34,484,46,5,6,16,1,118,3,1171,3,2,2,0.3,1,0,291,67,269,11,3,34,0.8,1.2,44,0,16,45,0.2,0.3,5,68,0,0,0,0,0,0,0
Potato Cakes,101,4,1,0,3,15,1,0,2,0,7,1,194,2,2,2,0.2,0,0,60,12,35,3,0,0,0.1,0,9,0,5,33,0.1,0.1,1,6,0,0,0,0,0,0,0
Potato Nachos,302,10,3,39,294,39,6,4,16,0,157,3,1157,3,2,2,0.2,6,3,340,71,288,14,2,76,0.8,0,50,1,25,58,0.2,0.2,5,56,700,0,0,0,0,0,0
Potato Salad,210,8,1,6,247,33,5,5,5,0,66,2,878,6,5,1,0.1,0,0,217,52,129,4,1,44,0.5,0,47,1,166,51,0.2,0.1,2,27,0,0,0,0,0,0,0
Potato Spinach Casserole,263,12,4,13,678,24,2,9,15,1,361,1,533,6,2,0,0,0,0,121,43,283,11,2,140,0.2,0.4,16,1,31,34,0.1,0.5,1,30,0,0,0,0,0,0,0
Potato Spinach Lasagna,440,12,4,70,360,63,8,12,19,0,341,4,1716,4,1,1,0.2,1,5,430,75,35,18,2,260,0.6,0.7,31,3,148,64,0.3,0.2,4,97,0,0,0,0,0,0,0
"Potato, Black Bean, & Kale Skillet",290,7,1,0,200,47,8,3,13,0,158,3,1090,5,1,1,0.1,0,0,650,71,127,3,1,73,0.2,0,79,2,100,15,0.1,0.1,1,55,0,0,0,0,0,0,0
Pretzel Shapes,55,0,0,0,195,11,1,1,2,0,3,1,22,0,0,0,0,0,0,25,4,20,5,0,0,0,0,0,0,0,58,0.2,0.1,1,2,0,0,0,0,0,0,0
Pulled Pork Sandwich with Red Cabbage and Carrot Slaw,487,28,8,140,454,14,3,6,42,2,93,4,908,14,4,3,0.7,0,0,0,59,401,0,7,194,0.8,1.3,62,2,48,32,1.1,0.7,7,156,0,245000,62000,0,0,0,0
Pumpkin and Bean Soup,159,1,0,0,385,32,7,9,8,0,96,4,637,0,0,0,0.1,0,0,304,68,115,1,1,549,0.1,0,10,1,14,69,0.1,0.1,0,34,0,0,0,0,0,0,0
